Type,St,Rest_Area,Rte,MP,Mun,Co,Lat,Long,Total_Spac,Truck_Spac,Hours,Limit,Comment,Rest_Stop
Public,FL,NHS Rest Stop or Truck Facility 27,I-75N,35.0,Weston,Broward,26.1469,-80.6304,139.0,59.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 27
Public,FL,NHS Rest Stop or Truck Facility 34,I-75N,238.0,Sunniland,Hillsborough,26.1683,-81.0786,138.0,36.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 34
Public,FL,NHS Rest Stop or Truck Facility 26,I-75N,63.0,Big Cypress,Collier,26.1699,-81.1038,87.0,16.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 26
Public,FL,NHS Rest Stop or Truck Facility 33,I-75N,131.0,Fort Myers,Lee,26.5497,-81.7922,137.0,44.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 33
Public,FL,Weigh Station,I-75S,158.0,Punta Gorda,Charlotte,26.8799,-81.985,39.0,33.0,24 hours per day,No limit,,Weigh Station
Public,FL,NHS Rest Stop or Truck Facility 25,I-75S,161.0,Punta Gorda,Charlotte,26.8933,-81.998,54.0,10.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 25
Public,FL,Weigh Station,I-95N,92.0,Hobe Sound,Martin,27.0049,-80.2054,26.0,18.0,24 hours per day,No limit,,Weigh Station
Public,FL,NHS Rest Stop or Truck Facility 46,I-95S,106.0,Palm City,Martin,27.1264,-80.341,200.0,57.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 46
Public,FL,NHS Rest Stop or Truck Facility 47,I-95N,106.0,Palm City,Martin,27.1274,-80.333,200.0,57.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 47
Public,TX,Kenedy County SRA,US77N,0.0,Sarita,Kenedy,27.133581,-97.79312,80.0,20.0,24,24,,Kenedy County SRA
