yr,cls,tech,all_targets: tech_shr_of_vmt,base case: tech_shr_of_vmt,scenario 1: tech_shr_of_vmt,scenario 2: tech_shr_of_vmt,scenario 3: tech_shr_of_vmt,scenario 1 and 2: tech_shr_of_vmt
2007,78Day,fcev,0,0,0,0,0,0
2007,78Sleep,fcev,0,0,0,0,0,0
2007,78SU,fcev,0,0,0,0,0,0
2008,78Day,fcev,0,0,0,0,0,0
2008,78Sleep,fcev,0,0,0,0,0,0
2008,78SU,fcev,0,0,0,0,0,0
2009,78Day,fcev,0,0,0,0,0,0
2009,78Sleep,fcev,0,0,0,0,0,0
2009,78SU,fcev,0,0,0,0,0,0
2010,78Day,fcev,0,0,0,0,0,0
2010,78Sleep,fcev,0,0,0,0,0,0
2010,78SU,fcev,0,0,0,0,0,0
2011,78Day,fcev,0,0,0,0,0,0
2011,78Sleep,fcev,0,0,0,0,0,0
2011,78SU,fcev,0,0,0,0,0,0
2012,78Day,fcev,0,0,0,0,0,0
2012,78Sleep,fcev,0,0,0,0,0,0
2012,78SU,fcev,0,0,0,0,0,0
2013,78Day,fcev,0,0,0,0,0,0
2013,78Sleep,fcev,0,0,0,0,0,0
2013,78SU,fcev,0,0,0,0,0,0
2014,78Day,fcev,0,0,0,0,0,0
2014,78Sleep,fcev,0,0,0,0,0,0
2014,78SU,fcev,0,0,0,0,0,0
2015,78Day,fcev,0,0,0,0,0,0
2015,78Sleep,fcev,0,0,0,0,0,0
2015,78SU,fcev,0,0,0,0,0,0
2016,78Day,fcev,0,0,0,0,0,0
2016,78Sleep,fcev,0,0,0,0,0,0
2016,78SU,fcev,0,0,0,0,0,0
2017,78Day,fcev,0,0,0,0,0,0
2017,78Sleep,fcev,0,0,0,0,0,0
2017,78SU,fcev,0,0,0,0,0,0
2018,78Day,fcev,0,0,0,0,0,0
2018,78Sleep,fcev,0,0,0,0,0,0
2018,78SU,fcev,0,0,0,0,0,0
2019,78Day,fcev,0,0,0,0,0,0
2019,78Sleep,fcev,0,0,0,0,0,0
2019,78SU,fcev,0,0,0,0,0,0
2020,78Day,fcev,0,0,0,0,0,0
2020,78Sleep,fcev,0,0,0,0,0,0
2020,78SU,fcev,0,0,0,0,0,0
2021,78Day,fcev,0,0,0,0,0,0
2021,78Sleep,fcev,0,0,0,0,0,0
2021,78SU,fcev,0,0,0,0,0,0
2022,78Day,fcev,0,0,0,0,0,0
2022,78Sleep,fcev,0,0,0,0,0,0
2022,78SU,fcev,0,0,0,0,0,0
2023,78Day,fcev,0,0,0,0,0,0
2023,78Sleep,fcev,0,0,0,0,0,0
2023,78SU,fcev,0,0,0,0,0,0
2024,78Day,fcev,0,0,0,0,0,0
2024,78Sleep,fcev,0,0,0,0,0,0
2024,78SU,fcev,0,0,0,0,0,0
2025,78Day,fcev,0,0,0,0,0,0
2025,78Sleep,fcev,0,0,0,0,0,0
2025,78SU,fcev,2.57E-05,0,0,0,6.88E-07,0
2026,78Day,fcev,0,0,0,0,0,0
2026,78Sleep,fcev,0,0,0,0,0,0
2026,78SU,fcev,3.02E-04,0,0,0,6.36E-06,0
2027,78Day,fcev,0,0,0,0,0,0
