yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,tech_shr_of_vmt,tech_shr_of_trk,conventional_diesel_ice,adv_conv,hev,bev,fcev,na,isg,phev,fchev
2021,78Sleep,163300,163300,base,163300,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.488893949405459,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8562.634362079889,8562.634362079889,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.9832416229955413,0.04988086442412494,0.02544569092321881,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,78Sleep,1,163301,alt,163300,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,6.502215484834524,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8545.091504989621,8562.634362079889,17.542857090267717,0,0,0.9999999998958342,Moderate,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA
2021,78Sleep,9691,172991,alt,163300,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,6.9282427260624955,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8019.641992919731,8562.634362079889,542.992369160158,0,0,0.9902649150664405,Moderate,0.7177177698896199,0,0,0,0,0,NA,NA,19,NA,NA,NA,NA,NA,NA
2021,78Sleep,803302,966602,alt,163300,Electricity,N/A,TRUE,2021,0,0,0.5,1,0,350,0,0,13.466656528420819,1,477.7395036303814,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.4237110214,NA,0.06058693718652426,250,896.1680079175497,1,13065.028915763463,8562.634362079889,-4502.3945536835745,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA,NA,NA,NA
2021,78Sleep,1,163301,alt,163300,Hydrogen,N/A,FALSE,2021,0,0.5,0.5,1,0,350,0,0,8.646587565444984,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,1.0648565759602588,NA,0.9317347591029426,250,896.1680079175497,1,2299.2943487177713,8562.634362079889,6263.340013362118,0.008379188503102162,0,0.9999999998958342,Moderate,1,0.016758377006204323,0.016758377004458674,0.016758377004458674,8.501697973088827e-4,4.336965316125217e-4,NA,NA,NA,NA,1,NA,NA,NA,NA
2021,78Sleep,1000000,1163300,alt,163300,Diesel,N/A,FALSE,2020,0,0,0.5,1,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,55562.02630307146,8562.634362079889,-46999.391940991576,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86,NA,NA,NA
2022,78Sleep,163300,163300,base,163300,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.618661358461285,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,8526.28840624671,8526.28840624671,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.955811665484256,0.04848931431092745,0.024735820424914696,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,78Sleep,257.33623308312247,163557.33623308313,alt,163300,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,6.668444379597659,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,8462.635720285698,8526.28840624671,63.65268596101123,0,0,0.9999931019631402,Moderate,1,0,0,0,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA
2022,78Sleep,9515.502899749787,172815.5028997498,alt,163300,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,7.116335003402794,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,7930.01110523006,8526.28840624671,596.2773010166493,0,0,0.9906126681647868,Moderate,0.7822800694069151,0,0,0,0,0,NA,NA,17,NA,NA,NA,NA,NA,NA
2022,78Sleep,746184.5028997498,909484.5028997498,alt,163300,Electricity,N/A,TRUE,2021,0,0,0.5,1,0,350,0,0,13.701270876526285,1,483.34573117598865,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.5316462518,NA,0.09366379991368863,250,896.1680079175497,1,12988.38825279598,8526.28840624671,-4462.09984654927,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA,NA,NA,NA
