yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk
2007,78Sleep,adv_conv,0,0
2007,78Sleep,bev,0,0
2007,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2007,78Sleep,fcev,0,0
2007,78Sleep,hev,0,0
2007,78Sleep,na,0,0
2008,78Sleep,adv_conv,0,0
2008,78Sleep,bev,0,0
2008,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2008,78Sleep,fcev,0,0
2008,78Sleep,hev,0,0
2008,78Sleep,na,0,0
2009,78Sleep,adv_conv,0,0
2009,78Sleep,bev,0,0
2009,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2009,78Sleep,fcev,0,0
2009,78Sleep,hev,0,0
2009,78Sleep,na,0,0
2010,78Sleep,adv_conv,0,0
2010,78Sleep,bev,0,0
2010,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2010,78Sleep,fcev,0,0
2010,78Sleep,hev,0,0
2010,78Sleep,na,0,0
2011,78Sleep,adv_conv,0,0
2011,78Sleep,bev,0,0
2011,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2011,78Sleep,fcev,0,0
2011,78Sleep,hev,0,0
2011,78Sleep,na,0,0
2012,78Sleep,adv_conv,0,0
2012,78Sleep,bev,0,0
2012,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2012,78Sleep,fcev,0,0
2012,78Sleep,hev,0,0
2012,78Sleep,na,0,0
2013,78Sleep,adv_conv,0,0
2013,78Sleep,bev,0,0
2013,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2013,78Sleep,fcev,0,0
2013,78Sleep,hev,0,0
2013,78Sleep,na,0,0
2014,78Sleep,adv_conv,0,0
2014,78Sleep,bev,0,0
2014,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2014,78Sleep,fcev,0,0
2014,78Sleep,hev,0,0
2014,78Sleep,na,0,0
2015,78Sleep,adv_conv,0,0
2015,78Sleep,bev,0,0
2015,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2015,78Sleep,fcev,0,0
2015,78Sleep,hev,0,0
2015,78Sleep,na,0,0
2016,78Sleep,adv_conv,0,0
2016,78Sleep,bev,0,0
2016,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2016,78Sleep,fcev,0,0
2016,78Sleep,hev,0,0
2016,78Sleep,na,0,0
2017,78Sleep,adv_conv,0,0
2017,78Sleep,bev,0,0
2017,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2017,78Sleep,fcev,0,0
2017,78Sleep,hev,0,0
2017,78Sleep,na,0,0
2018,78Sleep,adv_conv,0,0
2018,78Sleep,bev,0,0
2018,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2018,78Sleep,fcev,0,0
2018,78Sleep,hev,0,0
2018,78Sleep,na,0,0
2019,78Sleep,adv_conv,0,0
2019,78Sleep,bev,0,0
2019,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2019,78Sleep,fcev,0,0
2019,78Sleep,hev,0,0
2019,78Sleep,na,0,0
2020,78Sleep,adv_conv,0,0
2020,78Sleep,bev,0,0
2020,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2020,78Sleep,fcev,0,0
2020,78Sleep,hev,0,0
2020,78Sleep,na,0,0
2021,78Sleep,adv_conv,0,0
2021,78Sleep,bev,0,0
2021,78Sleep,conventional_diesel_ice,0.9829587530260666,0.9829501804865827
2021,78Sleep,fcev,0.017041246973933458,0.01704981951341715
2021,78Sleep,hev,0,0
2021,78Sleep,na,0,0
2022,78Sleep,adv_conv,0,0
2022,78Sleep,bev,0,0
2022,78Sleep,conventional_diesel_ice,0.955065796547647,0.9550431925542973
2022,78Sleep,fcev,0.04493420345235307,0.044956807445702435
2022,78Sleep,hev,0,0
2022,78Sleep,na,0,0
2023,78Sleep,adv_conv,0,0
2023,78Sleep,bev,0,0
2023,78Sleep,conventional_diesel_ice,0.8870597842194926,0.8870029700403095
2023,78Sleep,fcev,0.11294021578050752,0.11299702995969031
2023,78Sleep,hev,0,0
2023,78Sleep,na,0,0
2024,78Sleep,adv_conv,0,0
2024,78Sleep,bev,0,0
2024,78Sleep,conventional_diesel_ice,0.7451882751969757,0.7450600930530793
2024,78Sleep,fcev,0.2548117248030244,0.25493990694692054
2024,78Sleep,hev,0,0
2024,78Sleep,na,0,0
2025,78Sleep,adv_conv,0,0
2025,78Sleep,bev,0,0
2025,78Sleep,conventional_diesel_ice,0.5262690969934726,0.5260307883252814
2025,78Sleep,fcev,0.4737309030065276,0.47396921167471845
2025,78Sleep,hev,0,0
2025,78Sleep,na,0,0
2026,78Sleep,adv_conv,0,0
2026,78Sleep,bev,0,0
2026,78Sleep,conventional_diesel_ice,0.30734991879004375,0.3070014835975579
2026,78Sleep,fcev,0.6926500812099563,0.6929985164024419
2026,78Sleep,hev,0,0
2026,78Sleep,na,0,0
2027,78Sleep,adv_conv,0,0
2027,78Sleep,bev,0,0
2027,78Sleep,conventional_diesel_ice,0.16547840976543476,0.16505860660823454
2027,78Sleep,fcev,0.8345215902345653,0.8349413933917653
2027,78Sleep,hev,0,0
2027,78Sleep,na,0,0
2028,78Sleep,adv_conv,0,0
2028,78Sleep,bev,0,0
2028,78Sleep,conventional_diesel_ice,0.09747239743698369,0.09701838409394992
2028,78Sleep,fcev,0.9025276025630165,0.9029816159060499
2028,78Sleep,hev,0,0
2028,78Sleep,na,0,0
2029,78Sleep,adv_conv,0,0
2029,78Sleep,bev,0,0
2029,78Sleep,conventional_diesel_ice,0.06957944095856827,0.06911139616166882
2029,78Sleep,fcev,0.930420559041432,0.9308886038383309
2029,78Sleep,hev,0,0
2029,78Sleep,na,0,0
2030,78Sleep,adv_conv,0,0
2030,78Sleep,bev,0,0
2030,78Sleep,conventional_diesel_ice,0.058879414608626654,0.058405987201023794
2030,78Sleep,fcev,0.9411205853913734,0.941594012798976
2030,78Sleep,hev,0,0
2030,78Sleep,na,0,0
2031,78Sleep,adv_conv,0,0
2031,78Sleep,bev,0,0
2031,78Sleep,conventional_diesel_ice,0.054880909986092095,0.054405471144771685
2031,78Sleep,fcev,0.9451190900139081,0.9455945288552281
2031,78Sleep,hev,0,0
2031,78Sleep,na,0,0
2032,78Sleep,adv_conv,0,0
2032,78Sleep,bev,0,0
2032,78Sleep,conventional_diesel_ice,0.053401380194530654,0.05292519708094103
2032,78Sleep,fcev,0.9465986198054694,0.9470748029190588
2032,78Sleep,hev,0,0
2032,78Sleep,na,0,0
2033,78Sleep,adv_conv,0,0
2033,78Sleep,bev,0,0
2033,78Sleep,conventional_diesel_ice,0.052855925424770404,0.052379467922073146
2033,78Sleep,fcev,0.9471440745752298,0.9476205320779266
2033,78Sleep,hev,0,0
2033,78Sleep,na,0,0
2034,78Sleep,adv_conv,0,0
2034,78Sleep,bev,0,0
2034,78Sleep,conventional_diesel_ice,0.05265510563232781,0.05217854710793874
2034,78Sleep,fcev,0.9473448943676723,0.947821452892061
2034,78Sleep,hev,0,0
2034,78Sleep,na,0,0
2035,78Sleep,adv_conv,0,0
2035,78Sleep,bev,0,0
2035,78Sleep,conventional_diesel_ice,0.05258120673118128,0.05210461103220934
2035,78Sleep,fcev,0.9474187932688187,0.9478953889677905
2035,78Sleep,hev,0,0
2035,78Sleep,na,0,0
2036,78Sleep,adv_conv,0,0
2036,78Sleep,bev,0,0
2036,78Sleep,conventional_diesel_ice,0.05255401794381826,0.05207740856762225
2036,78Sleep,fcev,0.9474459820561819,0.9479225914323777
2036,78Sleep,hev,0,0
2036,78Sleep,na,0,0
2037,78Sleep,adv_conv,0,0
2037,78Sleep,bev,0,0
2037,78Sleep,conventional_diesel_ice,0.05254401535527634,0.05206740094731327
2037,78Sleep,fcev,0.9474559846447237,0.9479325990526866
2037,78Sleep,hev,0,0
2037,78Sleep,na,0,0
2038,78Sleep,adv_conv,0,0
2038,78Sleep,bev,0,0
2038,78Sleep,conventional_diesel_ice,0.052540335555452816,0.05206371929637936
2038,78Sleep,fcev,0.9474596644445472,0.9479362807036205
2038,78Sleep,hev,0,0
2038,78Sleep,na,0,0
2039,78Sleep,adv_conv,0,0
2039,78Sleep,bev,0,0
2039,78Sleep,conventional_diesel_ice,0.05253898182555814,0.05206236488549562
2039,78Sleep,fcev,0.947461018174442,0.9479376351145042
2039,78Sleep,hev,0,0
2039,78Sleep,na,0,0
2040,78Sleep,adv_conv,0,0
2040,78Sleep,bev,0,0
2040,78Sleep,conventional_diesel_ice,0.05253848381518775,0.052061866624602854
2040,78Sleep,fcev,0.9474615161848123,0.947938133375397
2040,78Sleep,hev,0,0
2040,78Sleep,na,0,0
2041,78Sleep,adv_conv,0,0
2041,78Sleep,bev,0,0
2041,78Sleep,conventional_diesel_ice,0.052538300607279154,0.05206168332453216
2041,78Sleep,fcev,0.947461699392721,0.9479383166754677
2041,78Sleep,hev,0,0
2041,78Sleep,na,0,0
2042,78Sleep,adv_conv,0,0
2042,78Sleep,bev,0,0
2042,78Sleep,conventional_diesel_ice,0.05253823320883843,0.05206161589218689
2042,78Sleep,fcev,0.9474617667911617,0.947938384107813
2042,78Sleep,hev,0,0
2042,78Sleep,na,0,0
2043,78Sleep,adv_conv,0,0
2043,78Sleep,bev,0,0
2043,78Sleep,conventional_diesel_ice,0.05253820841433512,0.05206159108521079
2043,78Sleep,fcev,0.947461791585665,0.947938408914789
2043,78Sleep,hev,0,0
2043,78Sleep,na,0,0
2044,78Sleep,adv_conv,0,0
2044,78Sleep,bev,0,0
2044,78Sleep,conventional_diesel_ice,0.052538199292946876,0.052061581959234056
2044,78Sleep,fcev,0.9474618007070533,0.9479384180407657
2044,78Sleep,hev,0,0
2044,78Sleep,na,0,0
2045,78Sleep,adv_conv,0,0
2045,78Sleep,bev,0,0
2045,78Sleep,conventional_diesel_ice,0.05253819593737567,0.052061578601974856
2045,78Sleep,fcev,0.9474618040626245,0.9479384213980249
2045,78Sleep,hev,0,0
2045,78Sleep,na,0,0
2046,78Sleep,adv_conv,0,0
2046,78Sleep,bev,0,0
2046,78Sleep,conventional_diesel_ice,0.05253819470293,0.0520615773669082
2046,78Sleep,fcev,0.9474618052970701,0.9479384226330916
2046,78Sleep,hev,0,0
2046,78Sleep,na,0,0
2047,78Sleep,adv_conv,0,0
2047,78Sleep,bev,0,0
2047,78Sleep,conventional_diesel_ice,0.05253819424880279,0.05206157691255254
2047,78Sleep,fcev,0.9474618057511973,0.9479384230874472
2047,78Sleep,hev,0,0
2047,78Sleep,na,0,0
2048,78Sleep,adv_conv,0,0
2048,78Sleep,bev,0,0
