class,year,powertrain,mileage_bin,share_sales,share_mileage
78Sleep,2007,conventional_ice,0-20,0.0209097489872735,0.002256613772194731
78Sleep,2007,conventional_ice,20-40,0.02879866195343358,0.007073686792236335
78Sleep,2007,conventional_ice,40-60,0.03505028026525102,0.01625030454586848
78Sleep,2007,conventional_ice,60-80,0.08879894620005929,0.05613081143290787
78Sleep,2007,conventional_ice,80-100,0.14639549330637447,0.11767220300151848
78Sleep,2007,conventional_ice,100-120,0.21365161330069243,0.2088233328756055
78Sleep,2007,conventional_ice,120-140,0.2820976133158442,0.31481709571514344
78Sleep,2007,conventional_ice,140-160,0.0982904356954257,0.12808309076747726
78Sleep,2007,conventional_ice,160-180,0.02774575776326288,0.04096596545677162
78Sleep,2007,conventional_ice,180-200,0.024865826653214275,0.041243420467632574
78Sleep,2007,conventional_ice,>200,0.03339562255916844,0.06668347517264384
78Sleep,2007,adv_conv,0-20,0,0
78Sleep,2007,adv_conv,20-40,0,0
78Sleep,2007,adv_conv,40-60,0,0
78Sleep,2007,adv_conv,60-80,0,0
78Sleep,2007,adv_conv,80-100,0,0
78Sleep,2007,adv_conv,100-120,0,0
78Sleep,2007,adv_conv,120-140,0,0
78Sleep,2007,adv_conv,140-160,0,0
78Sleep,2007,adv_conv,160-180,0,0
78Sleep,2007,adv_conv,180-200,0,0
78Sleep,2007,adv_conv,>200,0,0
78Sleep,2007,hev,0-20,0,0
78Sleep,2007,hev,20-40,0,0
78Sleep,2007,hev,40-60,0,0
78Sleep,2007,hev,60-80,0,0
78Sleep,2007,hev,80-100,0,0
78Sleep,2007,hev,100-120,0,0
78Sleep,2007,hev,120-140,0,0
78Sleep,2007,hev,140-160,0,0
78Sleep,2007,hev,160-180,0,0
78Sleep,2007,hev,180-200,0,0
78Sleep,2007,hev,>200,0,0
78Sleep,2007,phev,0-20,0,0
78Sleep,2007,phev,20-40,0,0
78Sleep,2007,phev,40-60,0,0
78Sleep,2007,phev,60-80,0,0
78Sleep,2007,phev,80-100,0,0
78Sleep,2007,phev,100-120,0,0
78Sleep,2007,phev,120-140,0,0
78Sleep,2007,phev,140-160,0,0
78Sleep,2007,phev,160-180,0,0
78Sleep,2007,phev,180-200,0,0
78Sleep,2007,phev,>200,0,0
78Sleep,2007,bev,0-20,0,0
78Sleep,2007,bev,20-40,0,0
78Sleep,2007,bev,40-60,0,0
78Sleep,2007,bev,60-80,0,0
78Sleep,2007,bev,80-100,0,0
78Sleep,2007,bev,100-120,0,0
78Sleep,2007,bev,120-140,0,0
78Sleep,2007,bev,140-160,0,0
78Sleep,2007,bev,160-180,0,0
78Sleep,2007,bev,180-200,0,0
78Sleep,2007,bev,>200,0,0
78Sleep,2007,fcev,0-20,0,0
78Sleep,2007,fcev,20-40,0,0
78Sleep,2007,fcev,40-60,0,0
78Sleep,2007,fcev,60-80,0,0
78Sleep,2007,fcev,80-100,0,0
78Sleep,2007,fcev,100-120,0,0
78Sleep,2007,fcev,120-140,0,0
78Sleep,2007,fcev,140-160,0,0
78Sleep,2007,fcev,160-180,0,0
78Sleep,2007,fcev,180-200,0,0
78Sleep,2007,fcev,>200,0,0
78Sleep,2008,conventional_ice,0-20,0.0209097489872735,0.002256613772194731
78Sleep,2008,conventional_ice,20-40,0.02879866195343358,0.007073686792236335
78Sleep,2008,conventional_ice,40-60,0.03505028026525102,0.01625030454586848
78Sleep,2008,conventional_ice,60-80,0.08879894620005929,0.05613081143290787
78Sleep,2008,conventional_ice,80-100,0.14639549330637447,0.11767220300151848
78Sleep,2008,conventional_ice,100-120,0.21365161330069243,0.2088233328756055
78Sleep,2008,conventional_ice,120-140,0.2820976133158442,0.31481709571514344
78Sleep,2008,conventional_ice,140-160,0.0982904356954257,0.12808309076747726
78Sleep,2008,conventional_ice,160-180,0.02774575776326288,0.04096596545677162
78Sleep,2008,conventional_ice,180-200,0.024865826653214275,0.041243420467632574
78Sleep,2008,conventional_ice,>200,0.03339562255916844,0.06668347517264384
78Sleep,2008,adv_conv,0-20,0,0
78Sleep,2008,adv_conv,20-40,0,0
78Sleep,2008,adv_conv,40-60,0,0
78Sleep,2008,adv_conv,60-80,0,0
78Sleep,2008,adv_conv,80-100,0,0
78Sleep,2008,adv_conv,100-120,0,0
78Sleep,2008,adv_conv,120-140,0,0
78Sleep,2008,adv_conv,140-160,0,0
78Sleep,2008,adv_conv,160-180,0,0
78Sleep,2008,adv_conv,180-200,0,0
78Sleep,2008,adv_conv,>200,0,0
78Sleep,2008,hev,0-20,0,0
78Sleep,2008,hev,20-40,0,0
78Sleep,2008,hev,40-60,0,0
78Sleep,2008,hev,60-80,0,0
78Sleep,2008,hev,80-100,0,0
78Sleep,2008,hev,100-120,0,0
78Sleep,2008,hev,120-140,0,0
78Sleep,2008,hev,140-160,0,0
78Sleep,2008,hev,160-180,0,0
78Sleep,2008,hev,180-200,0,0
78Sleep,2008,hev,>200,0,0
78Sleep,2008,phev,0-20,0,0
78Sleep,2008,phev,20-40,0,0
78Sleep,2008,phev,40-60,0,0
78Sleep,2008,phev,60-80,0,0
78Sleep,2008,phev,80-100,0,0
78Sleep,2008,phev,100-120,0,0
78Sleep,2008,phev,120-140,0,0
78Sleep,2008,phev,140-160,0,0
78Sleep,2008,phev,160-180,0,0
78Sleep,2008,phev,180-200,0,0
78Sleep,2008,phev,>200,0,0
78Sleep,2008,bev,0-20,0,0
78Sleep,2008,bev,20-40,0,0
78Sleep,2008,bev,40-60,0,0
78Sleep,2008,bev,60-80,0,0
78Sleep,2008,bev,80-100,0,0
78Sleep,2008,bev,100-120,0,0
78Sleep,2008,bev,120-140,0,0
78Sleep,2008,bev,140-160,0,0
78Sleep,2008,bev,160-180,0,0
78Sleep,2008,bev,180-200,0,0
78Sleep,2008,bev,>200,0,0
78Sleep,2008,fcev,0-20,0,0
78Sleep,2008,fcev,20-40,0,0
78Sleep,2008,fcev,40-60,0,0
78Sleep,2008,fcev,60-80,0,0
78Sleep,2008,fcev,80-100,0,0
78Sleep,2008,fcev,100-120,0,0
78Sleep,2008,fcev,120-140,0,0
78Sleep,2008,fcev,140-160,0,0
78Sleep,2008,fcev,160-180,0,0
78Sleep,2008,fcev,180-200,0,0
78Sleep,2008,fcev,>200,0,0
78Sleep,2009,conventional_ice,0-20,0.0209097489872735,0.002256613772194731
78Sleep,2009,conventional_ice,20-40,0.02879866195343358,0.007073686792236335
78Sleep,2009,conventional_ice,40-60,0.03505028026525102,0.01625030454586848
78Sleep,2009,conventional_ice,60-80,0.08879894620005929,0.05613081143290787
78Sleep,2009,conventional_ice,80-100,0.14639549330637447,0.11767220300151848
78Sleep,2009,conventional_ice,100-120,0.21365161330069243,0.2088233328756055
78Sleep,2009,conventional_ice,120-140,0.2820976133158442,0.31481709571514344
78Sleep,2009,conventional_ice,140-160,0.0982904356954257,0.12808309076747726
78Sleep,2009,conventional_ice,160-180,0.02774575776326288,0.04096596545677162
78Sleep,2009,conventional_ice,180-200,0.024865826653214275,0.041243420467632574
78Sleep,2009,conventional_ice,>200,0.03339562255916844,0.06668347517264384
78Sleep,2009,adv_conv,0-20,0,0
78Sleep,2009,adv_conv,20-40,0,0
78Sleep,2009,adv_conv,40-60,0,0
78Sleep,2009,adv_conv,60-80,0,0
78Sleep,2009,adv_conv,80-100,0,0
78Sleep,2009,adv_conv,100-120,0,0
78Sleep,2009,adv_conv,120-140,0,0
78Sleep,2009,adv_conv,140-160,0,0
78Sleep,2009,adv_conv,160-180,0,0
78Sleep,2009,adv_conv,180-200,0,0
78Sleep,2009,adv_conv,>200,0,0
78Sleep,2009,hev,0-20,0,0
78Sleep,2009,hev,20-40,0,0
78Sleep,2009,hev,40-60,0,0
78Sleep,2009,hev,60-80,0,0
78Sleep,2009,hev,80-100,0,0
78Sleep,2009,hev,100-120,0,0
