yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk
2007,78Sleep,adv_conv,0,0
2007,78Sleep,bev,0,0
2007,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2007,78Sleep,fcev,0,0
2007,78Sleep,hev,0,0
2007,78Sleep,na,0,0
2008,78Sleep,adv_conv,0,0
2008,78Sleep,bev,0,0
2008,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2008,78Sleep,fcev,0,0
2008,78Sleep,hev,0,0
2008,78Sleep,na,0,0
2009,78Sleep,adv_conv,0,0
2009,78Sleep,bev,0,0
2009,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2009,78Sleep,fcev,0,0
2009,78Sleep,hev,0,0
2009,78Sleep,na,0,0
2010,78Sleep,adv_conv,0,0
2010,78Sleep,bev,0,0
2010,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2010,78Sleep,fcev,0,0
2010,78Sleep,hev,0,0
2010,78Sleep,na,0,0
2011,78Sleep,adv_conv,0,0
2011,78Sleep,bev,0,0
2011,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2011,78Sleep,fcev,0,0
2011,78Sleep,hev,0,0
2011,78Sleep,na,0,0
2012,78Sleep,adv_conv,0,0
2012,78Sleep,bev,0,0
2012,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2012,78Sleep,fcev,0,0
2012,78Sleep,hev,0,0
2012,78Sleep,na,0,0
2013,78Sleep,adv_conv,0,0
2013,78Sleep,bev,0,0
2013,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2013,78Sleep,fcev,0,0
2013,78Sleep,hev,0,0
2013,78Sleep,na,0,0
2014,78Sleep,adv_conv,0,0
2014,78Sleep,bev,0,0
2014,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2014,78Sleep,fcev,0,0
2014,78Sleep,hev,0,0
2014,78Sleep,na,0,0
2015,78Sleep,adv_conv,0,0
2015,78Sleep,bev,0,0
2015,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2015,78Sleep,fcev,0,0
2015,78Sleep,hev,0,0
2015,78Sleep,na,0,0
2016,78Sleep,adv_conv,0,0
2016,78Sleep,bev,0,0
2016,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2016,78Sleep,fcev,0,0
2016,78Sleep,hev,0,0
2016,78Sleep,na,0,0
2017,78Sleep,adv_conv,0,0
2017,78Sleep,bev,0,0
2017,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2017,78Sleep,fcev,0,0
2017,78Sleep,hev,0,0
2017,78Sleep,na,0,0
2018,78Sleep,adv_conv,0,0
2018,78Sleep,bev,0,0
2018,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2018,78Sleep,fcev,0,0
2018,78Sleep,hev,0,0
2018,78Sleep,na,0,0
2019,78Sleep,adv_conv,0,0
2019,78Sleep,bev,0,0
2019,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2019,78Sleep,fcev,0,0
2019,78Sleep,hev,0,0
2019,78Sleep,na,0,0
2020,78Sleep,adv_conv,0,0
2020,78Sleep,bev,0,0
2020,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998
2020,78Sleep,fcev,0,0
2020,78Sleep,hev,0,0
2020,78Sleep,na,0,0
2021,78Sleep,adv_conv,0.008473426834237801,0.008684871994998036
2021,78Sleep,bev,0,0
2021,78Sleep,conventional_diesel_ice,0.9820137900397821,0.9820137900397818
2021,78Sleep,fcev,0.007605198297316667,0.007802891215521409
2021,78Sleep,hev,0.0019075848286635463,0.0014984467496985628
2021,78Sleep,na,0,0
2022,78Sleep,adv_conv,0.020777865555330052,0.02052923460370251
2022,78Sleep,bev,0,0
2022,78Sleep,conventional_diesel_ice,0.9533272977155961,0.9535786235170995
2022,78Sleep,fcev,0.019454873131287076,0.02065742550849361
2022,78Sleep,hev,0.006439963597786907,0.005234716370704208
2022,78Sleep,na,0,0
2023,78Sleep,adv_conv,0.04910698499349583,0.04834410382289403
2023,78Sleep,bev,0,0
2023,78Sleep,conventional_diesel_ice,0.8844396315442078,0.8849991048414074
2023,78Sleep,fcev,0.04784360090376881,0.05123197152855344
2023,78Sleep,hev,0.018609782558527653,0.015424819807144942
2023,78Sleep,na,0,0
2024,78Sleep,adv_conv,0.10592506011888181,0.10419968307097162
2024,78Sleep,bev,0,0
2024,78Sleep,conventional_diesel_ice,0.7401709839410046,0.741351227812822
2024,78Sleep,fcev,0.105008986746929,0.11304803816097464
2024,78Sleep,hev,0.04889496919318479,0.04140105095523156
2024,78Sleep,na,0,0
2025,78Sleep,adv_conv,0.18310853548886513,0.17922180814697095
2025,78Sleep,bev,0,0
2025,78Sleep,conventional_diesel_ice,0.5229094521901052,0.5240418536385663
2025,78Sleep,fcev,0.19719601153635175,0.21358272499257328
2025,78Sleep,hev,0.09678600078467808,0.08315361322188938
2025,78Sleep,na,0,0
2026,78Sleep,adv_conv,0.2012822142184128,0.19543676966426718
2026,78Sleep,bev,0,0
2026,78Sleep,conventional_diesel_ice,0.30734991879004375,0.3070014835975579
2026,78Sleep,fcev,0.34365175490633076,0.37145686893588703
2026,78Sleep,hev,0.1477161120852128,0.12610487780228763
2026,78Sleep,na,0,0
2027,78Sleep,adv_conv,0.1302246766579814,0.10394549467571797
2027,78Sleep,bev,0,0
2027,78Sleep,conventional_diesel_ice,0.16547840976543482,0.1650586066082346
2027,78Sleep,fcev,0.5198919093966932,0.5728985874449728
2027,78Sleep,hev,0.1844050041798907,0.15809731127107443
2027,78Sleep,na,0,0
2028,78Sleep,adv_conv,0.22542657315916736,0.20711014885831203
2028,78Sleep,bev,0,0
2028,78Sleep,conventional_diesel_ice,0.09747239743698376,0.09701838409394997
2028,78Sleep,fcev,0.479143725376677,0.5282387712423532
2028,78Sleep,hev,0.197957304027172,0.16763269580538462
2028,78Sleep,na,0,0
2029,78Sleep,adv_conv,0.06261358131316636,0.04203269940550341
2029,78Sleep,bev,0,0
2029,78Sleep,conventional_diesel_ice,0.06957944095856822,0.06911139616166877
2029,78Sleep,fcev,0.6332580584362124,0.6866221229229139
2029,78Sleep,hev,0.23454891929205313,0.20223378150991378
2029,78Sleep,na,0,0
2030,78Sleep,adv_conv,0.189818454649396,0.16235643437753203
2030,78Sleep,bev,0,0
2030,78Sleep,conventional_diesel_ice,0.05887941460862662,0.05840598720102375
2030,78Sleep,fcev,0.5401221829054577,0.5987079306561791
2030,78Sleep,hev,0.21117994783651972,0.18052964776526492
2030,78Sleep,na,0,0
2031,78Sleep,adv_conv,0.18667291642199818,0.15957489801121605
2031,78Sleep,bev,0,0
2031,78Sleep,conventional_diesel_ice,0.05488090998609208,0.05440547114477167
2031,78Sleep,fcev,0.5408852504973358,0.5989610038585504
2031,78Sleep,hev,0.21756092309457392,0.18705862698546166
2031,78Sleep,na,0,0
2032,78Sleep,adv_conv,0.1837634760617236,0.1571048919068145
2032,78Sleep,bev,0,0
2032,78Sleep,conventional_diesel_ice,0.05340138019453068,0.05292519708094106
2032,78Sleep,fcev,0.5422533998691892,0.600072912757132
2032,78Sleep,hev,0.22058174387455667,0.18989699825511225
2032,78Sleep,na,0,0
2033,78Sleep,adv_conv,0.20737405192472988,0.18716846515567057
2033,78Sleep,bev,0,0
2033,78Sleep,conventional_diesel_ice,0.052855925424770356,0.0523794679220731
2033,78Sleep,fcev,0.5073107301026827,0.5602323004148865
2033,78Sleep,hev,0.23245929254781722,0.20021976650736967
2033,78Sleep,na,0,0
2034,78Sleep,adv_conv,0.18293861268076117,0.1574842130093801
2034,78Sleep,bev,0,0
2034,78Sleep,conventional_diesel_ice,0.052655105632327746,0.05217854710793868
2034,78Sleep,fcev,0.5244387389881244,0.5816025697989399
2034,78Sleep,hev,0.2399675426987868,0.20873467008374116
2034,78Sleep,na,0,0
2035,78Sleep,adv_conv,0.1807340764510329,0.15549733036812605
2035,78Sleep,bev,0,0
2035,78Sleep,conventional_diesel_ice,0.05258120673118132,0.05210461103220937
2035,78Sleep,fcev,0.520234314146941,0.5768826951838846
2035,78Sleep,hev,0.24645040267084492,0.2155153634157799
2035,78Sleep,na,0,0
2036,78Sleep,adv_conv,0.1900837008047645,0.17954826257815448
2036,78Sleep,bev,0,0
2036,78Sleep,conventional_diesel_ice,0.05255401794381825,0.052077408567622246
2036,78Sleep,fcev,0.48128522423187936,0.5246155660112052
2036,78Sleep,hev,0.27607705701953805,0.24375876284301787
2036,78Sleep,na,0,0
2037,78Sleep,adv_conv,0.16111085358967986,0.14627583919736337
2037,78Sleep,bev,0,0
2037,78Sleep,conventional_diesel_ice,0.05254401535527633,0.052067400947313255
2037,78Sleep,fcev,0.48897958216895443,0.5349779756177132
2037,78Sleep,hev,0.29736554888608946,0.26667878423761
2037,78Sleep,na,0,0
2038,78Sleep,adv_conv,0.1782828433801505,0.15392807862837424
2038,78Sleep,bev,0,0
2038,78Sleep,conventional_diesel_ice,0.052478633494173914,0.052032243266467736
2038,78Sleep,fcev,0.46323039595909044,0.5139029527699668
2038,78Sleep,hev,0.30600812716658526,0.280136725335191
2038,78Sleep,na,0,0
2039,78Sleep,adv_conv,0.2176258946487038,0.19050554137019007
2039,78Sleep,bev,0,0
2039,78Sleep,conventional_diesel_ice,0.05160359725712439,0.0515851978015346
2039,78Sleep,fcev,0.4262361509450107,0.476104424542237
2039,78Sleep,hev,0.30453435714916116,0.2818048362860382
2039,78Sleep,na,0,0
2040,78Sleep,adv_conv,0.24339508152709882,0.21765156263505958
2040,78Sleep,bev,0,0
2040,78Sleep,conventional_diesel_ice,0.050930952147047716,0.05124181760482296
2040,78Sleep,fcev,0.3992520246382676,0.44612856101155385
2040,78Sleep,hev,0.30642194168758596,0.2849780587485634
2040,78Sleep,na,0,0
2041,78Sleep,adv_conv,0.2585253800438751,0.23364546123114519
2041,78Sleep,bev,0,0
2041,78Sleep,conventional_diesel_ice,0.05063013201113097,0.05104481311593621
2041,78Sleep,fcev,0.3814988730160788,0.4258534813518673
2041,78Sleep,hev,0.3093456149289152,0.2894562443010511
2041,78Sleep,na,0,0
2042,78Sleep,adv_conv,0.2680318582087002,0.24400467567487472
2042,78Sleep,bev,0,0
2042,78Sleep,conventional_diesel_ice,0.05040379008104295,0.05094347551721135
2042,78Sleep,fcev,0.37110958247776604,0.41352633951893764
2042,78Sleep,hev,0.31045476923249105,0.29152550928897614
2042,78Sleep,na,0,0
2043,78Sleep,adv_conv,0.27199416280425165,0.2483978641256945
2043,78Sleep,bev,0,0
2043,78Sleep,conventional_diesel_ice,0.05085160565973454,0.05118881589400887
